#0:
>0:6481.0,14535.0;6881.0,14535.0;7281.0,14535.0;7281.0,14935.0;7281.0,14935.0;6881.0,14535.0;6481.0,14535.0;6881.0,14935.0;7281.0,14935.0;6881.0,14535.0;6481.0,14535.0;6081.0,14535.0;6481.0,14535.0;6881.0,14535.0;6481.0,14535.0;6881.0,14535.0;6481.0,14535.0;6881.0,14535.0;6481.0,14535.0;6881.0,14535.0;6481.0,14535.0;6481.0,14535.0;6081.0,14535.0;6481.0,14535.0;6081.0,14535.0;6081.0,14535.0;6481.0,14535.0;6881.0,14535.0;6481.0,14535.0;6881.0,14535.0;6481.0,14535.0;6881.0,14535.0;7281.0,14935.0;7681.0,14935.0;7281.0,14935.0;7681.0,14935.0;7281.0,14935.0;6881.0,15335.0;7281.0,14935.0;7681.0,14935.0;7681.0,14935.0;7681.0,14935.0;7281.0,14935.0;6881.0,14935.0;7281.0,14935.0;7681.0,14935.0;7281.0,14935.0;7281.0,14935.0;6881.0,14935.0;7281.0,14935.0;6881.0,14535.0;7281.0,14935.0;6881.0,14535.0;6481.0,14535.0;6881.0,14535.0;6881.0,14535.0;6481.0,14535.0;6881.0,14535.0;6481.0,14535.0;6081.0,14535.0;6481.0,14535.0;6481.0,14535.0;6081.0,14535.0;6081.0,14535.0;6081.0,14935.0;5681.0,14935.0;6081.0,14535.0;5681.0,14535.0;6081.0,14535.0;6481.0,14535.0;6081.0,14535.0;6081.0,14935.0;6081.0,14935.0;6081.0,14535.0;6081.0,14935.0;6081.0,14535.0;6481.0,14535.0;6081.0,14535.0;6481.0,14535.0;6881.0,14535.0;7281.0,14535.0;6881.0,14935.0;7281.0,14935.0;7681.0,14935.0;8081.0,14935.0;7681.0,14935.0;8081.0,14935.0;8081.0,14935.0;8481.0,14935.0;8881.0,14935.0;9281.0,14935.0;9281.0,14535.0;9281.0,14535.0;9681.0,14135.0;9681.0,14135.0;10081.0,13735.0;10481.0,13335.0;10081.0,13735.0;10081.0,13735.0;10481.0,13335.0;10481.0,13335.0;
#1:
>0:9681.0,15335.0;9281.0,14935.0;9281.0,14535.0;9281.0,14535.0;9681.0,14935.0;9281.0,14535.0;9681.0,14135.0;9681.0,14135.0;9681.0,13735.0;10081.0,13735.0;10481.0,13335.0;10081.0,13735.0;10481.0,13335.0;10481.0,13335.0;10081.0,13735.0;10481.0,13335.0;10481.0,13335.0;10481.0,13735.0;10881.0,13335.0;10881.0,13335.0;10881.0,13335.0;11281.0,13735.0;10881.0,13335.0;11281.0,12935.0;11681.0,12935.0;12081.0,12935.0;11681.0,12935.0;11281.0,12935.0;11681.0,12935.0;11281.0,12935.0;10881.0,13335.0;10881.0,13335.0;11281.0,12935.0;10881.0,12935.0;10481.0,13335.0;10881.0,13335.0;10881.0,13335.0;10481.0,13335.0;10881.0,13335.0;10481.0,13335.0;10481.0,13335.0;10481.0,12935.0;10881.0,13335.0;10481.0,13335.0;10481.0,12935.0;10481.0,13335.0;10481.0,13335.0;10881.0,13335.0;10481.0,13335.0;10881.0,13335.0;10881.0,13335.0;11281.0,12935.0;11281.0,12935.0;10881.0,12935.0;10481.0,12935.0;10881.0,13335.0;10881.0,13335.0;10881.0,13735.0;10881.0,13335.0;10881.0,13735.0;10481.0,13335.0;10481.0,12935.0;10481.0,12935.0;10881.0,13335.0;10481.0,13335.0;10481.0,13335.0;10881.0,13335.0;10881.0,13335.0;10481.0,13335.0;10881.0,13335.0;10481.0,13335.0;10481.0,12935.0;10481.0,13335.0;10881.0,13335.0;10881.0,13335.0;10881.0,13335.0;11281.0,12935.0;11681.0,12935.0;11281.0,12935.0;11681.0,12935.0;11681.0,12935.0;12081.0,12935.0;11681.0,12935.0;12081.0,12935.0;11681.0,12935.0;12081.0,12935.0;12481.0,12935.0;12081.0,12935.0;12481.0,12535.0;12881.0,12935.0;12481.0,12535.0;12081.0,12535.0;11681.0,12935.0;12081.0,12935.0;11681.0,12935.0;12081.0,12935.0;12081.0,12535.0;12481.0,12535.0;12081.0,12535.0;12481.0,12535.0;12081.0,12935.0;
#2:
>0:13381.0,30035.0;13381.0,30235.0;13581.0,30435.0;13781.0,30235.0;13581.0,30435.0;13581.0,30435.0;13381.0,30635.0;13581.0,30435.0;13581.0,30435.0;13581.0,30435.0;13781.0,30235.0;13781.0,30435.0;13981.0,30235.0;14181.0,30035.0;14381.0,30035.0;14381.0,30035.0;14581.0,30035.0;14781.0,30035.0;14981.0,30035.0;15181.0,29835.0;14981.0,30035.0;15181.0,29835.0;15381.0,29835.0;15581.0,29635.0;15381.0,29635.0;15581.0,29435.0;15781.0,29635.0;15981.0,29435.0;15781.0,29635.0;15981.0,29435.0;15781.0,29635.0;15981.0,29435.0;15981.0,29435.0;16181.0,29235.0;15981.0,29435.0;15781.0,29635.0;15981.0,29435.0;16181.0,29235.0;16181.0,29435.0;16381.0,29235.0;16181.0,29435.0;16381.0,29235.0;16181.0,29435.0;16381.0,29235.0;16181.0,29035.0;16181.0,29235.0;16181.0,29435.0;16181.0,29435.0;15981.0,29235.0;16181.0,29435.0;16181.0,29235.0;16381.0,29435.0;16581.0,29235.0;16381.0,29435.0;16181.0,29435.0;15981.0,29635.0;16181.0,29435.0;15981.0,29635.0;15781.0,29835.0;15581.0,29635.0;15381.0,29635.0;15381.0,29635.0;15581.0,29435.0;15781.0,29635.0;15981.0,29435.0;15981.0,29435.0;15981.0,29435.0;15981.0,29435.0;15781.0,29635.0;15581.0,29635.0;15781.0,29635.0;15981.0,29435.0;15981.0,29435.0;15781.0,29635.0;15981.0,29435.0;15981.0,29435.0;15781.0,29635.0;15781.0,29635.0;15981.0,29435.0;16181.0,29435.0;16381.0,29235.0;16381.0,29035.0;16181.0,29235.0;15981.0,29435.0;16181.0,29635.0;16381.0,29435.0;16581.0,29235.0;16781.0,29035.0;16581.0,29235.0;16781.0,29235.0;16581.0,29235.0;16381.0,29235.0;16181.0,29435.0;16181.0,29435.0;16181.0,29435.0;15981.0,29435.0;15781.0,29635.0;15581.0,29635.0;15581.0,29635.0;15581.0,29635.0;15381.0,29835.0;
#3:
>0:16181.0,14035.0;16181.0,14035.0;15981.0,14035.0;15781.0,14035.0;15981.0,14235.0;16181.0,14435.0;15981.0,14635.0;15781.0,14835.0;15781.0,14635.0;15981.0,14435.0;16181.0,14235.0;15981.0,14435.0;16181.0,14435.0;15981.0,14635.0;15981.0,14635.0;15981.0,14435.0;16181.0,14435.0;15981.0,14235.0;16181.0,14435.0;16181.0,14235.0;16181.0,14435.0;15981.0,14635.0;15981.0,14435.0;15781.0,14235.0;15981.0,14035.0;15981.0,14035.0;16181.0,14035.0;16381.0,14035.0;16181.0,14235.0;16181.0,14235.0;16181.0,14035.0;16181.0,13835.0;16381.0,13835.0;16381.0,13835.0;16381.0,13635.0;16381.0,13435.0;16181.0,13635.0;16381.0,13435.0;16381.0,13635.0;16381.0,13435.0;16381.0,13635.0;16381.0,13835.0;16181.0,14035.0;16181.0,14035.0;15981.0,14035.0;15781.0,14035.0;15981.0,14035.0;16181.0,14035.0;16381.0,14035.0;16381.0,13835.0;16181.0,14035.0;16181.0,14235.0;16181.0,14035.0;16181.0,13835.0;16181.0,13835.0;16181.0,14035.0;16181.0,13835.0;16181.0,14035.0;16381.0,14035.0;16581.0,13835.0;16781.0,13835.0;16981.0,13835.0;17181.0,13635.0;17181.0,13635.0;17381.0,13635.0;17581.0,13635.0;17381.0,13635.0;17181.0,13635.0;16981.0,13835.0;16981.0,14035.0;16981.0,13835.0;16781.0,13835.0;16581.0,14035.0;16381.0,13835.0;16381.0,13635.0;16381.0,13835.0;16581.0,13835.0;16581.0,14035.0;16581.0,14035.0;16381.0,13835.0;16381.0,14035.0;16581.0,14035.0;16381.0,13835.0;16181.0,14035.0;16381.0,13835.0;16381.0,13635.0;16381.0,13835.0;16181.0,14035.0;15981.0,13835.0;16181.0,14035.0;16181.0,14035.0;16181.0,13835.0;16381.0,13835.0;16581.0,13835.0;16381.0,13635.0;16381.0,13435.0;16581.0,13435.0;16381.0,13635.0;16581.0,13835.0;16381.0,13835.0;16381.0,13635.0;
#4:
>0:23781.0,22835.0;23581.0,22835.0;23581.0,23035.0;23781.0,22835.0;23781.0,22835.0;23581.0,22835.0;23781.0,22635.0;23581.0,22835.0;23581.0,22835.0;23581.0,22835.0;23781.0,22635.0;23781.0,22835.0;23781.0,22635.0;23781.0,22835.0;23581.0,22835.0;23781.0,22835.0;23781.0,22835.0;23581.0,22835.0;23581.0,23035.0;23781.0,22835.0;23581.0,22835.0;23781.0,22635.0;23781.0,22835.0;23581.0,23035.0;23581.0,22835.0;23781.0,22635.0;23781.0,22835.0;23781.0,22835.0;23781.0,22635.0;23781.0,22635.0;23581.0,22835.0;23381.0,23035.0;23381.0,23235.0;23381.0,23435.0;23381.0,23435.0;23381.0,23635.0;23581.0,23635.0;23381.0,23435.0;23381.0,23235.0;23381.0,23435.0;23181.0,23635.0;23181.0,23835.0;22981.0,23635.0;22981.0,23635.0;23181.0,23635.0;23181.0,23835.0;23181.0,24035.0;23181.0,23835.0;23181.0,24035.0;22981.0,24235.0;23181.0,24035.0;23381.0,24035.0;23181.0,24035.0;23181.0,24035.0;23181.0,23835.0;23181.0,24035.0;23181.0,24035.0;23181.0,24035.0;23181.0,23835.0;23181.0,24035.0;23181.0,23835.0;23181.0,24035.0;23181.0,23835.0;23381.0,24035.0;23181.0,24035.0;23181.0,24035.0;23181.0,24035.0;23181.0,23835.0;23181.0,24035.0;23181.0,23835.0;23181.0,24035.0;23181.0,23835.0;23181.0,24035.0;23181.0,24035.0;23181.0,23835.0;23181.0,23635.0;23181.0,23835.0;23181.0,24035.0;23181.0,23835.0;23181.0,24035.0;23181.0,24035.0;23181.0,23835.0;23181.0,24035.0;23381.0,24235.0;23381.0,24235.0;23381.0,24035.0;23181.0,24035.0;23181.0,23835.0;23181.0,24035.0;23181.0,23835.0;23181.0,24035.0;23181.0,24035.0;23181.0,23835.0;23181.0,24035.0;23181.0,23835.0;23181.0,24035.0;23181.0,24035.0;23381.0,24035.0;23181.0,24035.0;23381.0,24035.0;23381.0,24235.0;
#5:
