#0:
>0:8381.0,20635.0;8581.0,20435.0;8381.0,20435.0;8581.0,20235.0;8581.0,20435.0;8781.0,20635.0;8581.0,20435.0;8381.0,20635.0;8181.0,20835.0;8381.0,20835.0;8381.0,20835.0;8381.0,20835.0;8181.0,20835.0;8381.0,21035.0;8381.0,21235.0;8581.0,21435.0;8381.0,21235.0;8381.0,21435.0;8581.0,21435.0;8581.0,21635.0;8381.0,21435.0;8581.0,21635.0;8381.0,21435.0;8381.0,21435.0;8381.0,21235.0;8181.0,21435.0;8381.0,21235.0;8181.0,21435.0;8381.0,21235.0;8381.0,21235.0;8381.0,21235.0;8381.0,21235.0;8381.0,21035.0;8381.0,21035.0;8381.0,20835.0;8581.0,20635.0;8581.0,20435.0;8381.0,20635.0;8381.0,20835.0;8381.0,20635.0;8581.0,20435.0;8581.0,20235.0;8781.0,20035.0;8981.0,20035.0;9181.0,20235.0;8981.0,20035.0;8781.0,20035.0;8781.0,19835.0;8781.0,19635.0;8781.0,19835.0;8581.0,19635.0;8581.0,19635.0;8581.0,19435.0;8781.0,19435.0;8781.0,19635.0;8781.0,19835.0;8781.0,19635.0;8781.0,19635.0;8481.0,19735.0;8881.0,19335.0;8881.0,19335.0;8881.0,19335.0;8881.0,19735.0;8881.0,19735.0;9281.0,19735.0;9281.0,20135.0;9681.0,20535.0;9681.0,20935.0;10081.0,20935.0;9681.0,20535.0;9681.0,20535.0;9681.0,20935.0;9681.0,20535.0;10081.0,20935.0;9681.0,20535.0;9681.0,20535.0;9281.0,20535.0;9281.0,20135.0;8881.0,20135.0;9281.0,20535.0;9681.0,20535.0;10081.0,20935.0;10081.0,20935.0;10081.0,20935.0;10481.0,20935.0;10481.0,21335.0;10481.0,20935.0;10481.0,20935.0;10181.0,20835.0;10381.0,20835.0;10181.0,20835.0;9981.0,20835.0;9981.0,20835.0;9781.0,20635.0;9581.0,20635.0;9381.0,20635.0;9581.0,20635.0;9781.0,20435.0;9581.0,20635.0;9381.0,20435.0;9181.0,20435.0;
#1:
>0:10981.0,17435.0;11181.0,17235.0;10981.0,17235.0;10981.0,17235.0;10981.0,17235.0;10981.0,17435.0;11181.0,17435.0;10981.0,17635.0;10981.0,17835.0;10781.0,17835.0;10781.0,17835.0;10781.0,17835.0;10781.0,17635.0;10781.0,17835.0;10981.0,17635.0;10981.0,17835.0;10981.0,17635.0;10781.0,17835.0;10581.0,17835.0;10781.0,17835.0;10781.0,17835.0;10981.0,17835.0;11181.0,18035.0;11181.0,17835.0;11381.0,17635.0;11381.0,17635.0;11181.0,17835.0;10981.0,17635.0;10981.0,17835.0;10981.0,17635.0;11181.0,17435.0;11181.0,17235.0;11181.0,17235.0;11181.0,17035.0;11181.0,17035.0;11381.0,16835.0;11181.0,17035.0;10981.0,17035.0;11181.0,16835.0;11181.0,17035.0;10981.0,17035.0;10981.0,17235.0;11181.0,17035.0;10981.0,17035.0;11181.0,17035.0;11381.0,17035.0;11581.0,16835.0;11781.0,16835.0;11781.0,16835.0;11581.0,16835.0;11781.0,16835.0;11781.0,17035.0;11981.0,16835.0;11981.0,17035.0;11781.0,17035.0;11781.0,17035.0;11781.0,16835.0;11581.0,16835.0;11781.0,16635.0;11981.0,16635.0;11781.0,16635.0;11981.0,16635.0;11781.0,16635.0;11981.0,16635.0;11781.0,16435.0;11781.0,16235.0;11981.0,16035.0;11981.0,16035.0;11981.0,15835.0;12181.0,15635.0;12181.0,15635.0;12181.0,15435.0;12181.0,15235.0;12181.0,15435.0;12381.0,15235.0;12181.0,15435.0;12181.0,15635.0;12181.0,15435.0;12181.0,15435.0;12181.0,15635.0;12181.0,15435.0;12181.0,15635.0;12181.0,15435.0;12181.0,15435.0;12381.0,15235.0;12581.0,15435.0;12381.0,15235.0;12381.0,15235.0;12381.0,15235.0;12381.0,15235.0;12181.0,15435.0;12181.0,15635.0;11981.0,15835.0;11981.0,15635.0;12181.0,15835.0;12181.0,16035.0;11981.0,15835.0;11981.0,16035.0;11781.0,16235.0;11981.0,16035.0;11981.0,16235.0;
#2:
>0:10581.0,9835.0;10581.0,9635.0;10581.0,9435.0;10581.0,9435.0;10581.0,9635.0;10581.0,9635.0;10581.0,9435.0;10581.0,9435.0;10581.0,9235.0;10581.0,9035.0;10581.0,9035.0;10581.0,9235.0;10581.0,9435.0;10581.0,9235.0;10581.0,9035.0;10781.0,9035.0;10781.0,9035.0;10781.0,8835.0;10581.0,9035.0;10781.0,9035.0;10581.0,9035.0;10581.0,8835.0;10581.0,8635.0;10381.0,8435.0;10381.0,8235.0;10381.0,8235.0;10181.0,8035.0;9981.0,7835.0;9981.0,8035.0;10181.0,7835.0;10181.0,8035.0;9981.0,7835.0;9781.0,7635.0;9581.0,7635.0;9781.0,7635.0;9581.0,7835.0;9581.0,7835.0;9381.0,8035.0;9181.0,8235.0;9181.0,8035.0;9181.0,8235.0;9381.0,8035.0;9381.0,8235.0;9181.0,8235.0;9381.0,8435.0;9381.0,8235.0;9581.0,8235.0;9381.0,8435.0;9381.0,8235.0;9581.0,8435.0;9381.0,8435.0;9381.0,8435.0;9381.0,8435.0;9581.0,8235.0;9381.0,8435.0;9181.0,8435.0;9181.0,8235.0;8981.0,8435.0;9181.0,8235.0;9181.0,8035.0;9181.0,8235.0;8981.0,8435.0;8981.0,8635.0;8981.0,8835.0;8981.0,8835.0;8781.0,9035.0;8781.0,9035.0;8981.0,8835.0;8781.0,8835.0;8981.0,8835.0;8781.0,9035.0;8781.0,8835.0;8781.0,9035.0;8581.0,9035.0;8581.0,9035.0;8581.0,9235.0;8381.0,9235.0;8181.0,9235.0;8181.0,9435.0;8181.0,9635.0;8181.0,9435.0;8181.0,9635.0;8181.0,9635.0;8181.0,9635.0;8181.0,9835.0;7981.0,9835.0;7981.0,9635.0;8181.0,9635.0;7981.0,9435.0;8181.0,9635.0;8181.0,9835.0;7981.0,9635.0;8181.0,9835.0;8381.0,10035.0;8581.0,10235.0;8781.0,10435.0;8981.0,10635.0;8781.0,10435.0;8781.0,10635.0;8781.0,10635.0;8981.0,10835.0;
#3:
>0:15181.0,14035.0;15381.0,14035.0;15581.0,14035.0;15781.0,14035.0;15781.0,14035.0;15581.0,14235.0;15381.0,14035.0;15181.0,14035.0;15181.0,14035.0;14981.0,13835.0;15181.0,14035.0;14981.0,14035.0;15181.0,14035.0;15381.0,14035.0;15581.0,14035.0;15781.0,14035.0;15981.0,14035.0;16181.0,14035.0;15981.0,14035.0;16181.0,14035.0;16181.0,14035.0;16181.0,14235.0;15981.0,14035.0;15981.0,14035.0;15781.0,14035.0;15581.0,14035.0;15781.0,14035.0;15581.0,14035.0;15781.0,14035.0;15981.0,14035.0;16181.0,14035.0;16181.0,14235.0;16381.0,14035.0;16181.0,14235.0;16181.0,14235.0;15981.0,14435.0;16181.0,14235.0;15981.0,14435.0;15981.0,14435.0;16181.0,14435.0;16181.0,14235.0;15981.0,14435.0;16181.0,14435.0;15981.0,14635.0;15981.0,14435.0;16181.0,14235.0;16181.0,14035.0;16181.0,13835.0;16381.0,13635.0;16381.0,13835.0;16181.0,14035.0;16181.0,14035.0;16181.0,14235.0;15981.0,14035.0;15781.0,14035.0;15781.0,14235.0;15981.0,14035.0;16181.0,14035.0;16381.0,14035.0;16181.0,14035.0;16181.0,14035.0;15981.0,14035.0;16181.0,13835.0;16181.0,14035.0;15981.0,14035.0;15781.0,14035.0;15981.0,13835.0;15981.0,14035.0;15981.0,14035.0;16181.0,14035.0;15981.0,14035.0;16181.0,13835.0;16381.0,13635.0;16381.0,13835.0;16181.0,13835.0;16181.0,14035.0;15981.0,14035.0;16181.0,14035.0;16181.0,14035.0;16181.0,14235.0;16181.0,14235.0;16181.0,14035.0;16181.0,14035.0;16181.0,14235.0;16181.0,14035.0;15981.0,14035.0;16181.0,14035.0;16381.0,14035.0;16181.0,14035.0;16381.0,14035.0;16381.0,13835.0;16181.0,14035.0;16381.0,14035.0;16181.0,14035.0;15981.0,14235.0;16181.0,14235.0;16181.0,14035.0;16181.0,14035.0;15981.0,14035.0;15981.0,14035.0;15981.0,14035.0;
#4:
>0:13681.0,8135.0;13281.0,8135.0;13281.0,8135.0;13281.0,8535.0;13281.0,8135.0;13681.0,8535.0;13281.0,8535.0;13281.0,8935.0;13281.0,8935.0;13281.0,8935.0;13281.0,8935.0;13281.0,8535.0;13281.0,8135.0;13681.0,8135.0;13281.0,8135.0;13681.0,8135.0;13281.0,8535.0;13681.0,8135.0;13681.0,7735.0;13281.0,8135.0;13281.0,8135.0;13281.0,8535.0;13281.0,8135.0;13281.0,8135.0;13281.0,8135.0;13281.0,8535.0;13281.0,8935.0;13281.0,8935.0;13281.0,8535.0;13281.0,8535.0;13281.0,8935.0;13281.0,9335.0;13281.0,9735.0;13281.0,10135.0;13281.0,10535.0;13281.0,10935.0;13281.0,10935.0;13281.0,10935.0;12881.0,11335.0;12881.0,11735.0;12881.0,11335.0;12881.0,11735.0;12881.0,11335.0;12881.0,11735.0;12881.0,11335.0;12881.0,11735.0;12881.0,11335.0;12881.0,11735.0;12881.0,11335.0;12881.0,10935.0;13281.0,11335.0;12881.0,11735.0;12881.0,11335.0;12881.0,11335.0;12881.0,11735.0;12481.0,12135.0;12081.0,12135.0;12081.0,12535.0;11681.0,12935.0;12081.0,12935.0;12081.0,12535.0;11681.0,12935.0;11281.0,12935.0;10881.0,13335.0;10881.0,13335.0;10881.0,13335.0;11281.0,12935.0;10881.0,13335.0;10881.0,12935.0;10481.0,13335.0;10481.0,13335.0;10081.0,13735.0;10481.0,13335.0;10481.0,13335.0;10881.0,13335.0;10881.0,13335.0;10481.0,13335.0;10481.0,13735.0;10481.0,13335.0;10481.0,13335.0;10481.0,13335.0;10581.0,13235.0;10581.0,13235.0;10381.0,13035.0;10181.0,13035.0;10381.0,13035.0;10381.0,13235.0;10581.0,13435.0;10781.0,13435.0;10981.0,13435.0;11181.0,13635.0;10981.0,13835.0;10781.0,13635.0;10981.0,13635.0;10981.0,13835.0;10781.0,13835.0;10981.0,13635.0;10981.0,13635.0;10981.0,13635.0;10781.0,13435.0;10981.0,13635.0;
#5:
