#0:
>0:14781.0,25635.0;14781.0,25835.0;14581.0,25635.0;14781.0,25635.0;14781.0,25435.0;14581.0,25235.0;14781.0,25435.0;14781.0,25635.0;14781.0,25435.0;14781.0,25635.0;14781.0,25635.0;14781.0,25635.0;14781.0,25435.0;14781.0,25235.0;14781.0,25435.0;14781.0,25635.0;14781.0,25835.0;14781.0,26035.0;14981.0,26235.0;14781.0,26035.0;14781.0,26035.0;14581.0,26235.0;14581.0,26435.0;14781.0,26635.0;14781.0,26835.0;14781.0,26635.0;14781.0,26835.0;14781.0,26635.0;14781.0,26835.0;14581.0,26635.0;14781.0,26835.0;14781.0,27035.0;14781.0,26835.0;14781.0,26635.0;14781.0,26635.0;14581.0,26435.0;14781.0,26635.0;14781.0,26835.0;14781.0,27035.0;14781.0,26835.0;14781.0,26635.0;14781.0,26635.0;14581.0,26435.0;14581.0,26235.0;14581.0,26435.0;14581.0,26435.0;14781.0,26635.0;14781.0,26835.0;14781.0,27035.0;14781.0,26835.0;14781.0,27035.0;14781.0,27235.0;14781.0,27035.0;14781.0,27235.0;14781.0,27435.0;14781.0,27235.0;14781.0,27235.0;14781.0,27035.0;14781.0,26835.0;14781.0,27035.0;14781.0,27235.0;14781.0,27035.0;14781.0,26835.0;14781.0,26835.0;14781.0,27035.0;14781.0,27235.0;14781.0,27035.0;14781.0,27235.0;14781.0,27035.0;14781.0,26835.0;14781.0,26635.0;14781.0,26835.0;14781.0,26635.0;14581.0,26435.0;14581.0,26235.0;14581.0,26435.0;14581.0,26235.0;14581.0,26235.0;14581.0,26435.0;14581.0,26435.0;14581.0,26235.0;14581.0,26035.0;14581.0,26235.0;14581.0,26435.0;14781.0,26635.0;14581.0,26435.0;14581.0,26235.0;14581.0,26435.0;14581.0,26235.0;14581.0,26235.0;14581.0,26435.0;14581.0,26435.0;14581.0,26435.0;14581.0,26435.0;14781.0,26635.0;14781.0,26835.0;14781.0,27035.0;14781.0,27235.0;14781.0,27435.0;14581.0,27635.0;14581.0,27635.0;
#1:
>0:12581.0,14835.0;12581.0,14635.0;12581.0,14635.0;12581.0,14435.0;12581.0,14435.0;12581.0,14235.0;12581.0,14435.0;12581.0,14235.0;12581.0,14235.0;12581.0,14435.0;12581.0,14635.0;12581.0,14835.0;12381.0,14835.0;12581.0,15035.0;12381.0,15035.0;12581.0,14835.0;12581.0,14635.0;12581.0,14835.0;12581.0,14635.0;12381.0,14835.0;12381.0,15035.0;12381.0,14835.0;12381.0,15035.0;12381.0,15235.0;12381.0,15435.0;12181.0,15435.0;12181.0,15635.0;12181.0,15635.0;11981.0,15835.0;11981.0,16035.0;12181.0,15835.0;11981.0,15835.0;11981.0,16035.0;11781.0,16235.0;11981.0,16035.0;11981.0,16035.0;11781.0,16235.0;11781.0,16435.0;11781.0,16435.0;11781.0,16635.0;11781.0,16835.0;11781.0,16835.0;11981.0,16835.0;11781.0,16835.0;
#2:
>0:14381.0,19835.0;14581.0,19635.0;14381.0,19835.0;14581.0,19635.0;14781.0,19635.0;14581.0,19435.0;14581.0,19235.0;14381.0,19435.0;14581.0,19235.0;14781.0,19435.0;14581.0,19235.0;14781.0,19235.0;14581.0,19035.0;14581.0,18835.0;14781.0,18635.0;14581.0,18835.0;14581.0,18835.0;14581.0,19035.0;14581.0,18835.0;14581.0,18835.0;14581.0,18835.0;14381.0,18635.0;14581.0,18835.0;14581.0,18835.0;14581.0,18835.0;14381.0,18835.0;14181.0,19035.0;13981.0,19035.0;13981.0,19035.0;14181.0,19035.0;14381.0,18835.0;14581.0,18835.0;14581.0,18835.0;14781.0,18635.0;14981.0,18635.0;14781.0,18635.0;14781.0,18635.0;14981.0,18635.0;14781.0,18635.0;14981.0,18635.0;15181.0,18635.0;15181.0,18635.0;15181.0,18635.0;15381.0,18635.0;15581.0,18435.0;15781.0,18435.0;15581.0,18235.0;15581.0,18435.0;15781.0,18435.0;15981.0,18435.0;16181.0,18435.0;16381.0,18435.0;16581.0,18435.0;16381.0,18435.0;16581.0,18435.0;16381.0,18435.0;16581.0,18435.0;16381.0,18235.0;16181.0,18435.0;15981.0,18435.0;16181.0,18435.0;15981.0,18435.0;16181.0,18435.0;16181.0,18435.0;16381.0,18435.0;16381.0,18235.0;16181.0,18435.0;16181.0,18435.0;15981.0,18435.0;16181.0,18435.0;16181.0,18435.0;16381.0,18435.0;16181.0,18435.0;16381.0,18435.0;16581.0,18435.0;16381.0,18435.0;16381.0,18435.0;16381.0,18435.0;16581.0,18435.0;16381.0,18435.0;16181.0,18435.0;15981.0,18435.0;16181.0,18435.0;16381.0,18435.0;16181.0,18435.0;16381.0,18435.0;16581.0,18435.0;16381.0,18435.0;16181.0,18435.0;15981.0,18435.0;15981.0,18435.0;15781.0,18435.0;15581.0,18435.0;15781.0,18435.0;15981.0,18435.0;15981.0,18235.0;16181.0,18435.0;16181.0,18435.0;15981.0,18435.0;15781.0,18435.0;15581.0,18435.0;
#3:
>0:4581.0,12635.0;4581.0,12835.0;4781.0,12835.0;4981.0,13035.0;4781.0,12835.0;4581.0,12635.0;4581.0,12635.0;4781.0,12835.0;4781.0,12835.0;4581.0,12835.0;4781.0,12835.0;4581.0,12635.0;4781.0,12835.0;4981.0,13035.0;5181.0,13035.0;4981.0,12835.0;5181.0,13035.0;5381.0,13235.0;5181.0,13035.0;5381.0,13235.0;5181.0,13035.0;4981.0,13035.0;4781.0,12835.0;4581.0,12635.0;4381.0,12435.0;4581.0,12635.0;4581.0,12435.0;4381.0,12235.0;4581.0,12235.0;4381.0,12435.0;4181.0,12435.0;4181.0,12435.0;3981.0,12235.0;3781.0,12235.0;3581.0,12035.0;3581.0,11835.0;3381.0,11835.0;3581.0,11635.0;3581.0,11635.0;3381.0,11835.0;3581.0,11635.0;3581.0,11635.0;3581.0,11835.0;3381.0,11835.0;3581.0,11635.0;3581.0,11835.0;3381.0,12035.0;3581.0,11835.0;3381.0,11835.0;3581.0,11835.0;3581.0,12035.0;3581.0,12035.0;3381.0,12035.0;3381.0,12035.0;3581.0,12035.0;3581.0,12035.0;3581.0,12235.0;3581.0,12235.0;3781.0,12235.0;3781.0,12235.0;3981.0,12235.0;3981.0,12235.0;4181.0,12435.0;4181.0,12435.0;4181.0,12435.0;4381.0,12235.0;4181.0,12435.0;4381.0,12635.0;4581.0,12635.0;4781.0,12835.0;4781.0,12835.0;4781.0,12835.0;4581.0,12835.0;4581.0,12635.0;4781.0,12835.0;4781.0,12835.0;4581.0,12635.0;4781.0,12835.0;4981.0,12835.0;5181.0,13035.0;4981.0,12835.0;4781.0,12835.0;4581.0,12635.0;4781.0,12835.0;4781.0,12835.0;4981.0,12835.0;4781.0,12835.0;4781.0,12835.0;4581.0,12635.0;4781.0,12835.0;4781.0,12835.0;4581.0,12635.0;4781.0,12835.0;4981.0,12835.0;4981.0,13035.0;4981.0,12835.0;5181.0,13035.0;5381.0,13235.0;5381.0,13435.0;5581.0,13635.0;5581.0,13635.0;
#4:
>0:3581.0,23235.0;3581.0,23235.0;3581.0,23235.0;3781.0,23435.0;3581.0,23235.0;3381.0,23235.0;3581.0,23235.0;3581.0,23435.0;3381.0,23635.0;3181.0,23435.0;3181.0,23635.0;3181.0,23435.0;3181.0,23635.0;3381.0,23635.0;3181.0,23835.0;2981.0,23635.0;3181.0,23435.0;3181.0,23435.0;3181.0,23435.0;3181.0,23435.0;3381.0,23235.0;3581.0,23235.0;3581.0,23235.0;3581.0,23435.0;3581.0,23235.0;3581.0,23435.0;3581.0,23235.0;3581.0,23235.0;3381.0,23235.0;3381.0,23235.0;3581.0,23435.0;3581.0,23235.0;3581.0,23035.0;3581.0,23235.0;3581.0,23235.0;3581.0,23235.0;3581.0,23435.0;3581.0,23235.0;3581.0,23035.0;3581.0,23235.0;3581.0,23235.0;3581.0,23035.0;3581.0,23235.0;3581.0,23435.0;3581.0,23235.0;3581.0,23035.0;3581.0,23235.0;3581.0,23435.0;3581.0,23235.0;3581.0,23235.0;3581.0,23235.0;3581.0,23235.0;3581.0,23035.0;3581.0,23235.0;3581.0,23235.0;3581.0,23035.0;3581.0,23235.0;3581.0,23435.0;3581.0,23235.0;3581.0,23235.0;3581.0,23435.0;3581.0,23235.0;3581.0,23035.0;3581.0,23235.0;3581.0,23235.0;3581.0,23435.0;3581.0,23235.0;3581.0,23235.0;3581.0,23035.0;3581.0,23235.0;3581.0,23035.0;3581.0,23235.0;3581.0,23435.0;3581.0,23235.0;3581.0,23235.0;3581.0,23435.0;3581.0,23235.0;3581.0,23235.0;3581.0,23235.0;3381.0,23235.0;3581.0,23035.0;3581.0,23235.0;3581.0,23435.0;3381.0,23235.0;3381.0,23235.0;3581.0,23235.0;3581.0,23235.0;3581.0,23435.0;3581.0,23235.0;3781.0,23235.0;3981.0,23035.0;4181.0,23035.0;4381.0,22835.0;4181.0,22635.0;4381.0,22635.0;4381.0,22835.0;4181.0,22635.0;4181.0,22435.0;4181.0,22635.0;4381.0,22635.0;4181.0,22635.0;
#5:
>0:20081.0,24535.0;19681.0,24135.0;19681.0,24135.0;19281.0,24135.0;19681.0,24135.0;19681.0,24135.0;19681.0,23735.0;19681.0,24135.0;19681.0,23735.0;19681.0,23735.0;19281.0,23735.0;19681.0,23735.0;19681.0,23735.0;19681.0,24135.0;19681.0,23735.0;19681.0,24135.0;19681.0,24535.0;19681.0,24135.0;19681.0,23735.0;19681.0,23735.0;19681.0,23335.0;19681.0,22935.0;19681.0,22935.0;19681.0,22935.0;19681.0,22535.0;19681.0,22535.0;19681.0,22135.0;19681.0,21735.0;19681.0,21335.0;19681.0,21735.0;19681.0,22135.0;19681.0,22135.0;19681.0,21735.0;19681.0,22135.0;19681.0,22535.0;19681.0,22935.0;19681.0,22535.0;19681.0,22135.0;19681.0,21735.0;19681.0,22135.0;19681.0,22135.0;19681.0,21735.0;19681.0,22135.0;19681.0,21735.0;19681.0,22135.0;20081.0,22135.0;19681.0,22135.0;19681.0,22535.0;19681.0,22535.0;19681.0,22135.0;19681.0,22135.0;19681.0,22535.0;19681.0,22535.0;19681.0,22935.0;19681.0,23335.0;19681.0,22935.0;19681.0,22535.0;19681.0,22135.0;19681.0,21735.0;19681.0,22135.0;19681.0,22535.0;19681.0,22935.0;19681.0,22535.0;19681.0,22935.0;19681.0,23335.0;19681.0,23735.0;19681.0,23335.0;19681.0,23335.0;19681.0,23335.0;19681.0,23735.0;19281.0,24135.0;19281.0,24535.0;19281.0,24935.0;19281.0,25335.0;19681.0,25335.0;19681.0,24935.0;19681.0,25335.0;19681.0,25735.0;19281.0,25335.0;19681.0,24935.0;19681.0,24535.0;19281.0,24935.0;18881.0,24935.0;19281.0,24535.0;19281.0,24535.0;19681.0,24135.0;19681.0,23735.0;19681.0,23335.0;19681.0,22935.0;19681.0,23335.0;19681.0,22935.0;19681.0,23335.0;19681.0,23735.0;19681.0,24135.0;19681.0,24535.0;19681.0,24135.0;19681.0,23735.0;19681.0,23335.0;19681.0,23735.0;19681.0,23335.0;19681.0,23735.0;
#6:
