#0:
>0:16581.0,22035.0;16581.0,21835.0;16381.0,21835.0;16181.0,21835.0;15981.0,21635.0;16181.0,21835.0;15981.0,21635.0;15981.0,21635.0;15981.0,21435.0;16181.0,21635.0;16381.0,21835.0;16581.0,22035.0;16781.0,22235.0;16981.0,22435.0;17181.0,22635.0;17181.0,22835.0;17381.0,23035.0;17381.0,23035.0;17381.0,22835.0;17581.0,23035.0;17381.0,22835.0;17581.0,23035.0;17781.0,22835.0;17981.0,22635.0;17981.0,22635.0;17781.0,22635.0;17981.0,22635.0;17981.0,22635.0;17781.0,22435.0;17981.0,22635.0;17981.0,22635.0;17981.0,22635.0;18181.0,22835.0;17981.0,22635.0;17781.0,22835.0;17981.0,22635.0;18181.0,22435.0;17981.0,22635.0;17781.0,22835.0;17581.0,23035.0;17781.0,23235.0;17781.0,23235.0;17581.0,23035.0;17381.0,22835.0;17581.0,23035.0;17381.0,22835.0;17181.0,22635.0;16981.0,22435.0;17181.0,22435.0;17181.0,22635.0;17381.0,22835.0;17581.0,23035.0;17781.0,23235.0;17581.0,23035.0;17781.0,23235.0;17581.0,23035.0;17581.0,23035.0;17381.0,22835.0;17581.0,23035.0;17581.0,23235.0;17381.0,23035.0;17581.0,23035.0;17781.0,23235.0;17581.0,23035.0;17581.0,23035.0;17381.0,22835.0;17381.0,22835.0;17581.0,23035.0;17781.0,23235.0;17781.0,23435.0;17981.0,23635.0;17781.0,23435.0;17981.0,23635.0;17781.0,23435.0;17781.0,23235.0;17581.0,23035.0;17581.0,23035.0;17781.0,23235.0;17581.0,23235.0;17381.0,23035.0;17581.0,23035.0;17581.0,23035.0;17781.0,22835.0;17981.0,22635.0;17981.0,22635.0;17981.0,22635.0;18181.0,22835.0;17981.0,22635.0;17981.0,22635.0;17781.0,22835.0;17581.0,23035.0;17781.0,23235.0;17781.0,23435.0;17581.0,23235.0;17581.0,23035.0;17381.0,22835.0;17581.0,23035.0;17781.0,23235.0;17581.0,23035.0;17781.0,22835.0;17781.0,22835.0;
#1:
>0:22781.0,26035.0;22781.0,26035.0;22781.0,26035.0;22781.0,26035.0;22781.0,26035.0;22781.0,26035.0;22781.0,26035.0;22781.0,26035.0;22781.0,26035.0;22781.0,26035.0;22781.0,26035.0;22781.0,26035.0;22781.0,26035.0;22781.0,26035.0;22781.0,26035.0;22781.0,26035.0;22781.0,26035.0;22781.0,26035.0;22781.0,25835.0;22781.0,26035.0;22781.0,26035.0;22781.0,26035.0;22781.0,26035.0;22781.0,26035.0;22781.0,26035.0;22781.0,26035.0;22781.0,26035.0;22781.0,26035.0;22781.0,26035.0;22781.0,26035.0;22581.0,25835.0;22781.0,26035.0;22781.0,26035.0;22781.0,26035.0;22781.0,26035.0;22781.0,26035.0;22581.0,25835.0;22381.0,25635.0;22381.0,25635.0;22381.0,25635.0;22381.0,25635.0;22381.0,25635.0;22581.0,25835.0;22781.0,26035.0;22781.0,26035.0;22581.0,25835.0;22781.0,26035.0;22781.0,26035.0;22781.0,26035.0;22781.0,26035.0;22781.0,26035.0;22781.0,26035.0;22781.0,26035.0;22781.0,26035.0;22781.0,26035.0;22581.0,25835.0;22781.0,26035.0;22781.0,26035.0;22781.0,26035.0;22781.0,26035.0;22781.0,26035.0;22781.0,26035.0;22781.0,26035.0;22781.0,26035.0;22781.0,26035.0;22781.0,26035.0;22781.0,26035.0;22781.0,26035.0;22781.0,26035.0;22781.0,26035.0;22581.0,25835.0;22781.0,26035.0;22781.0,26035.0;22781.0,26035.0;22781.0,26035.0;22781.0,26035.0;22781.0,26035.0;22781.0,26035.0;22781.0,26035.0;22781.0,26035.0;22781.0,26035.0;22581.0,25835.0;22781.0,26035.0;22781.0,26035.0;22781.0,26035.0;22781.0,26035.0;22781.0,26035.0;22781.0,26035.0;22581.0,25835.0;22381.0,25635.0;22181.0,25835.0;22181.0,25835.0;22181.0,25835.0;22381.0,25635.0;22181.0,25835.0;22381.0,25635.0;22181.0,25835.0;22381.0,25635.0;22581.0,25835.0;22381.0,25635.0;22181.0,25835.0;
#2:
>0:5381.0,23435.0;5581.0,23635.0;5781.0,23835.0;5781.0,24035.0;5781.0,24035.0;5781.0,24035.0;5781.0,23835.0;5581.0,23635.0;5381.0,23635.0;5381.0,23435.0;5381.0,23235.0;5181.0,23035.0;4981.0,22835.0;4981.0,22835.0;4981.0,23035.0;5181.0,23235.0;5181.0,23235.0;5381.0,23435.0;5581.0,23235.0;5781.0,23235.0;5981.0,23435.0;5781.0,23435.0;5981.0,23435.0;5781.0,23435.0;5781.0,23435.0;5781.0,23235.0;5781.0,23435.0;5781.0,23435.0;5781.0,23235.0;5981.0,23435.0;5781.0,23435.0;5581.0,23635.0;5781.0,23635.0;5781.0,23435.0;5781.0,23435.0;5981.0,23435.0;5981.0,23435.0;5981.0,23435.0;6181.0,23435.0;5981.0,23435.0;5781.0,23235.0;5781.0,23435.0;5781.0,23235.0;5981.0,23435.0;5781.0,23235.0;5981.0,23235.0;5981.0,23435.0;5981.0,23235.0;5781.0,23235.0;5781.0,23435.0;5781.0,23435.0;5781.0,23435.0;5981.0,23435.0;5781.0,23235.0;5981.0,23235.0;6181.0,23435.0;6381.0,23635.0;6581.0,23635.0;6581.0,23635.0;6781.0,23435.0;6781.0,23235.0;6981.0,23435.0;6781.0,23235.0;6781.0,23035.0;6781.0,23235.0;6781.0,23035.0;6781.0,23235.0;6781.0,23235.0;6781.0,23235.0;6981.0,23435.0;6981.0,23235.0;6781.0,23235.0;6781.0,23235.0;6781.0,23235.0;6781.0,23235.0;6981.0,23435.0;6781.0,23235.0;6781.0,23035.0;6581.0,22835.0;6781.0,23035.0;6981.0,23235.0;6781.0,23235.0;6781.0,23235.0;6781.0,23235.0;6781.0,23235.0;6781.0,23035.0;6581.0,22835.0;6781.0,23035.0;6781.0,23235.0;6781.0,23435.0;6781.0,23235.0;6981.0,23435.0;6781.0,23235.0;6781.0,23235.0;6981.0,23235.0;6981.0,23435.0;6981.0,23435.0;6981.0,23435.0;6781.0,23235.0;6581.0,23435.0;6781.0,23235.0;
#3:
>0:12581.0,16635.0;12381.0,16635.0;12181.0,16835.0;11981.0,17035.0;11781.0,16835.0;11781.0,17035.0;11781.0,17035.0;11781.0,17235.0;11781.0,17435.0;11781.0,17435.0;11781.0,17635.0;11981.0,17435.0;11781.0,17235.0;11581.0,17035.0;11581.0,16835.0;11581.0,17035.0;11581.0,16835.0;11781.0,16635.0;11781.0,16435.0;11781.0,16235.0;11981.0,16035.0;12181.0,15835.0;12181.0,16035.0;11981.0,15835.0;11981.0,15835.0;11981.0,16035.0;11981.0,15835.0;11981.0,16035.0;11781.0,16235.0;11781.0,16435.0;11781.0,16235.0;11781.0,16435.0;11781.0,16635.0;11581.0,16835.0;11781.0,16835.0;11781.0,16635.0;11781.0,16635.0;11781.0,16435.0;11581.0,16235.0;11781.0,16435.0;11981.0,16435.0;11781.0,16635.0;11781.0,16835.0;11981.0,16835.0;12181.0,16835.0;12381.0,16835.0;12381.0,16635.0;12181.0,16635.0;12381.0,16635.0;12181.0,16635.0;12381.0,16635.0;12181.0,16635.0;12381.0,16635.0;12581.0,16635.0;12381.0,16435.0;12581.0,16635.0;12581.0,16635.0;12381.0,16635.0;12581.0,16635.0;12381.0,16635.0;12581.0,16635.0;12381.0,16635.0;12581.0,16635.0;12381.0,16635.0;12181.0,16835.0;11981.0,16835.0;11781.0,16835.0;11981.0,16835.0;11981.0,16835.0;12181.0,16835.0;12181.0,16635.0;12381.0,16635.0;12181.0,16635.0;12181.0,16835.0;11981.0,16835.0;11781.0,16835.0;11781.0,17035.0;11981.0,17035.0;12181.0,16835.0;12381.0,16635.0;12381.0,16635.0;12581.0,16635.0;12781.0,16435.0;12581.0,16635.0;12381.0,16635.0;12581.0,16635.0;12381.0,16635.0;12381.0,16635.0;12581.0,16435.0;12781.0,16435.0;12581.0,16635.0;12781.0,16435.0;12981.0,16435.0;13181.0,16235.0;13381.0,16235.0;13581.0,16235.0;13381.0,16235.0;13381.0,16235.0;13181.0,16435.0;13181.0,16235.0;13181.0,16235.0;
#4:
>0:7181.0,12435.0;7181.0,12435.0;7181.0,12435.0;7381.0,12435.0;7381.0,12235.0;7181.0,12435.0;7181.0,12435.0;7381.0,12235.0;7181.0,12035.0;7381.0,12235.0;7381.0,12235.0;7381.0,12435.0;7181.0,12635.0;7381.0,12435.0;7181.0,12435.0;7381.0,12235.0;7381.0,12435.0;7381.0,12235.0;7381.0,12435.0;7581.0,12435.0;7581.0,12435.0;7381.0,12435.0;7181.0,12435.0;7381.0,12435.0;7181.0,12435.0;6981.0,12235.0;7181.0,12435.0;7381.0,12235.0;7181.0,12435.0;7381.0,12435.0;7381.0,12435.0;7181.0,12435.0;7381.0,12435.0;7381.0,12435.0;7581.0,12435.0;7381.0,12435.0;7181.0,12435.0;7381.0,12435.0;7581.0,12435.0;7381.0,12435.0;7381.0,12435.0;7181.0,12635.0;7181.0,12435.0;7381.0,12435.0;7181.0,12435.0;
#5:
